Date,APPL,AMZN,MSFT,GS,PFZR,SPX,UST3M (Rf)
2012.2.29,0.1725604,-0.0799271,0.0721710,0.0323933,-0.0128970,0.03704968954,0.000100
2012.3.30,0.1001326,0.1203585,0.0162504,0.0771122,0.0694255,0.03103603027,0.000100
2012.4.30,-0.0260247,0.1348690,-0.0074674,-0.0770254,0.0111164,-0.007229855941,0.000100
2012.5.31,-0.0110871,-0.0855738,-0.0925345,-0.1850173,-0.0461911,-0.06587778823,0.000100
2012.6.29,0.0110871,0.0701039,0.0468470,0.0016705,0.0503280,0.04175706912,0.000100
2012.7.31,0.0445351,0.0212742,-0.0373004,0.0512411,0.0444119,0.009661699869,0.000100
2012.8.31,0.0856349,0.0624437,0.0447910,0.0466642,-0.0074874,0.02030530257,0.000100
2012.9.28,0.0025221,0.0246641,-0.0349986,0.0725934,0.0407159,0.02460221141,0.000100
2012.10.31,-0.1136982,-0.0878798,-0.0418586,0.0738252,0.0008485,-0.01444395903,0.000100
2012.11.30,-0.0175568,0.0782457,-0.0696438,-0.0383093,0.0059197,-0.004021287933,0.000100
2012.12.31,-0.0927285,-0.0030596,0.0033752,0.0796835,0.0021057,0.008418409894,0.000100
2013.1.31,-0.1578339,0.0552729,0.0273281,0.1476790,0.0842731,0.0491076696,0.000100
2013.2.28,-0.0305987,-0.0052480,0.0126699,0.0127681,0.0034742,0.009778813318,0.000100
2013.3.29,0.0025333,0.0087064,0.0287203,-0.0175815,0.0529105,0.03461095967,0.000100
2013.4.30,0.0006323,-0.0487526,0.1457770,-0.0073665,0.0072834,0.01853810799,0.000100
2013.5.31,0.0150567,0.0583135,0.0529535,0.1040041,-0.0656034,0.02384862499,0.000000
2013.6.28,-0.1266171,0.0316813,-0.0100793,-0.0691559,0.0282677,-0.0167235703,0.000000
2013.7.31,0.1334430,0.0814655,-0.0816842,0.0811152,0.0427636,0.04925384781,0.000000
2013.8.30,0.0733125,-0.0696878,0.0478325,-0.0753139,-0.0356328,-0.03002284083,0.000000
2013.9.30,-0.0214937,0.1073728,-0.0035993,0.0391878,0.0181587,0.0264331511,0.000000
2013.10.31,0.0914057,0.1515993,0.0620377,0.0166112,0.0660752,0.04346516264,0.000000
2013.11.29,0.0623255,0.0783996,0.0740071,0.0490092,0.0334660,0.02926639409,0.000100
2013.12.31,0.0090226,0.0128445,-0.0190633,0.0480740,-0.0351863,0.02249554047,0.000100
2014.1.31,-0.1140475,-0.1062719,0.0114287,-0.0770197,-0.0076046,-0.03716445266,0.000000
2014.2.28,0.0501741,0.0096571,0.0123442,0.0140971,0.0546879,0.04258271201,0.000000
2014.3.31,0.0194897,-0.0732628,0.0676172,-0.0157436,0.0003285,0.005613197424,0.000000
2014.4.30,0.0954524,-0.1011037,-0.0144983,-0.0249032,-0.0266239,0.007506201782,0.000000
2014.5.30,0.0695933,0.0272106,0.0132778,-0.0000626,-0.0540485,0.02050665756,0.000000
2014.6.30,0.0274826,0.0384144,0.0183935,0.0466395,0.0017784,0.01888860813,0.000000
2014.7.31,0.0280035,-0.0369756,0.0344130,0.0319148,-0.0336075,-0.01393539978,0.000000
2014.8.29,0.0698851,0.0799149,0.0512585,0.0354603,0.0236074,0.03441117894,0.000000
2014.9.30,-0.0173165,-0.0501700,0.0202643,0.0245959,0.0060834,-0.01463760643,0.000000
2014.10.31,0.0690193,-0.0541292,0.0126462,0.0343754,0.0127616,0.02221106607,0.000000
2014.11.28,0.0970265,0.1035616,0.0181516,-0.0083510,0.0393697,0.02765477178,0.000000
2014.12.31,-0.0746772,-0.0876475,-0.0288584,0.0283610,0.0000000,-0.006575681199,0.000000
2015.1.30,0.0597717,0.1331447,-0.1395467,-0.1171061,0.0030431,-0.03139990076,0.000000
2015.2.27,0.0918914,0.0700039,0.0819449,0.0960428,0.0937129,0.05275107943,0.000000
2015.3.31,-0.0316282,-0.0216651,-0.0755299,-0.0096358,0.0137386,-0.0160862147,0.000000
2015.4.30,0.0060868,0.1252912,0.1792014,0.0439728,-0.0251779,0.009167814849,0.000000
2015.5.29,0.0400680,0.0176251,-0.0372818,0.0485429,0.0239643,0.009278635262,0.000000
2015.6.30,-0.0384723,0.0118101,-0.0595715,0.0125309,-0.0358506,-0.02056553984,0.000000
2015.7.31,-0.0320779,0.2121857,0.0561512,-0.0179776,0.0728035,0.01900215123,0.000000
2015.8.31,-0.0744880,-0.0460475,-0.0705236,-0.0837230,-0.1126034,-0.06280441328,0.000100
2015.9.30,-0.0222391,-0.0022447,0.0168607,-0.0819533,-0.0252003,-0.02909504744,0.000000
2015.10.30,0.0804611,0.2018655,0.1733950,0.0761038,0.0737721,0.07991795717,0.000000
2015.11.30,-0.0094150,0.0605213,0.0319683,0.0133505,-0.0316883,0.0002878622887,0.000100
2015.12.31,-0.1178253,0.0158813,0.0205780,-0.0528955,-0.0149208,-0.01544999673,0.000200
2016.1.29,-0.0798844,-0.1433820,-0.0070544,-0.1093572,-0.0571584,-0.05464062277,0.000200
2016.2.29,-0.0049525,-0.0575633,-0.0794983,-0.0773795,-0.0270050,-0.003293265703,0.000300
2016.3.31,0.1195743,0.0715687,0.0820364,0.0486214,-0.0010670,0.06337536487,0.000200
2016.4.29,-0.1502425,0.1049361,-0.1020867,0.0444185,0.0985402,0.00434643506,0.000200
2016.5.31,0.0628306,0.0914548,0.0608723,-0.0286184,0.0588589,0.01280802853,0.000200
2016.6.30,-0.0429778,-0.0094805,-0.0351385,-0.0707950,0.0147883,0.0008474294356,0.000200
2016.7.29,0.0857210,0.0586665,0.1022680,0.0665850,0.0465336,0.03519305499,0.000300
2016.8.31,0.0182584,0.0130203,0.0136676,0.0649084,-0.0582861,-0.0003630122706,0.000300
2016.9.30,0.0631712,0.0848574,0.0024335,-0.0495369,-0.0270370,-0.00001838387367,0.000200
2016.10.31,0.0045896,-0.0582634,0.0394878,0.1000510,-0.0659721,-0.01959977996,0.000300
2016.11.30,-0.0271348,-0.0508463,0.0056582,0.2072641,0.0135472,0.03307145554,0.000400
2016.12.30,0.0473587,-0.0004663,0.0307214,0.0879496,0.0104474,0.02794210997,0.000400
